very conservative,conservative,moderate,liberal,veryliberal,great deal,fair amount,not very much,none at all,The new york times,The wall street journal,USA Today,The washington post,Fox News,Breitbart,CNN,Buzzfeed news,Huffington post,Time,U.S.News & World Report,yes,no,Decrease trust,Increase trust,no change,strongly approve,somewhat approve,somewhat disapprove,strongly disapprove,18-29,30-44,45-59,60+,female,male,$0 to $9.999,$10.000 to $24.999,$25.000 to $49.999,$50.000 to $74.999,$75.000 to $99.999,$100.000 to $124.999,125.000 to $149.999,$150.000 to $174.999,$175.000 to $199.999,$200.000 and up,Prefer not to answer,New England,Middle Atlantic,East North Central,West North Central,South Atlantic,East South Central,West South Central,Mountain,Pacific,iOS Phone / Tablet,Android Phone / Tablet,Other Phone / Tablet,Windows Desktop / Laptop,MacOS Desktop / Laptop,Other Phone / Tablet
moderate,fair amount,The new york times,no,no change,strongly disapprove,30-44,male,$10.000 to $24.999,East South Central
moderate,fair amount,The new york times,no,Increase trust,somewhat disapprove,18-29,female,$0 to $9.999,Middle Atlantic
liberal,fair amount,The new york times,yes,Increase trust,strongly disapprove,30-44,male,125.000 to $149.999,East North Central
liberal,fair amount,The washington post,no,Increase trust,strongly disapprove,18-29,male,125.000 to $149.999,Mountain
liberal,fair amount,The new york times,yes,no change,strongly disapprove,30-44,male,$10.000 to $24.999,Pacific
liberal,not very much,The new york times,no,Increase trust,strongly disapprove,30-44,female,$200.000 and up,Mountain
conservative,not very much,no,no,Increase trust,strongly approve,30-44,male,$50.000 to $74.999,East North Central
moderate,not very much,Fox News,no,Increase trust,somewhat disapprove,18-29,male,$10.000 to $24.999,Pacific
moderate,fair amount,The new york times,no,Increase trust,strongly disapprove,30-44,male,$25.000 to $49.999,West North Central
very conservative,none at all,Fox News,no,Increase trust,strongly approve,45-59,male,$75.000 to $99.999,East North Central
moderate,fair amount,no,no,Increase trust,strongly disapprove,45-59,female,$150.000 to $174.999,New England
moderate,not very much,The new york times,no,Increase trust,strongly disapprove,18-29,male,$75.000 to $99.999,East North Central
conservative,fair amount,The new york times,yes,Decrease trust,somewhat approve,30-44,male,$0 to $9.999,East North Central
moderate,great deal,The new york times,yes,Increase trust,strongly disapprove,30-44,male,$0 to $9.999,East North Central
moderate,fair amount,The new york times,no,Increase trust,somewhat approve,30-44,female,$50.000 to $74.999,South Atlantic
liberal,fair amount,The new york times,no,Increase trust,strongly disapprove,60+,female,$10.000 to $24.999,West North Central
liberal,fair amount,The new york times,no,Increase trust,strongly disapprove,18-29,female,$25.000 to $49.999,East North Central
conservative,fair amount,USA Today,yes,Increase trust,somewhat approve,30-44,male,$50.000 to $74.999,West South Central
moderate,fair amount,The new york times,no,Increase trust,somewhat disapprove,60+,female,$50.000 to $74.999,Middle Atlantic
